DISTRICT_ID,NAME,pop2021,total_people,pop_accuracy,total_households,num_buildings,buil_with_households,fill_rate
54,Zarouchleika,8634,8634,100.0,3396,2136,2136,100.0
44,Psarofai,6945,6945,100.0,2717,1283,1283,100.0
0,Agyia (Notia),6681,6681,100.0,2602,971,971,100.0
46,Psila Alonia,6624,6624,100.0,2607,1028,1028,100.0
48,Skagiopouleio,6515,6548,99.5,2545,1018,1018,100.0
4,Ag. Sofia,7215,6378,88.4,2475,823,823,100.0
24,Glyfada - Panachaiki,7704,6074,78.8,2391,783,783,100.0
39,Norman,6150,6056,98.5,2395,798,798,100.0
28,Ag. Ioannis Pratsikas,5824,5826,100.0,2276,1337,1337,100.0
42,Plateia Eleftherias,5566,5609,99.2,2175,1133,1133,100.0
52,Trion Navarchon,5528,5528,100.0,2155,734,734,100.0
30,Kentro,5157,5183,99.5,2015,1371,1371,100.0
15,Demenika Met. Sotiros,5093,5117,99.5,1980,868,868,100.0
10,Aroi,4722,4749,99.4,1841,667,667,100.0
45,Psachou,4470,4472,100.0,1742,721,721,100.0
5,Akrotiri-Makrygianni,4304,3886,90.3,1517,506,506,100.0
27,Ities - Lefka,4390,3752,85.5,1463,488,488,100.0
53,Zavlani,3680,3700,99.5,1431,695,695,100.0
23,Girokomeio - Tzoleika,4302,3666,85.2,1432,500,500,100.0
13,Vlatero - Tritaki,1528,3662,-39.7,1453,856,856,100.0
35,Langoura,3420,3543,96.4,1337,528,528,100.0
2,Ag. Gerasimos,3962,3532,89.2,1380,461,461,100.0
11,Periochi Arch. Odeiou,3254,3255,100.0,1278,902,902,100.0
51,Trianteios,3066,3112,98.5,1198,616,616,100.0
8,Anthoupoli,3601,3074,85.4,1221,407,407,100.0
40,Nosokomeio,3028,3029,100.0,1200,423,423,100.0
1,Ag. Aikaterini,2902,2902,100.0,1138,689,689,100.0
41,Pagona Ag. Paraskevi,2885,2886,100.0,1127,608,608,100.0
26,Ag. Georgios Langouras,3022,2864,94.8,1121,374,374,100.0
20,Exo Agyia (Voreia),2682,2682,100.0,1050,372,372,100.0
19,Egklykada,2157,2214,97.4,843,453,453,100.0
49,Tasi,2192,2194,99.9,860,557,557,100.0
9,Aretha,2183,2185,99.9,873,523,523,100.0
36,Memou,2173,2174,100.0,870,344,344,100.0
3,Ag. Panteleimon,2314,2135,92.3,835,279,279,100.0
29,Kato Sychaina,2820,2067,73.3,806,269,269,100.0
12,Periochi Villas Ladopoulou,1997,2012,99.2,781,394,394,100.0
50,Tei,1848,1907,96.8,722,402,402,100.0
18,Evraiomnimata,1874,1898,98.7,733,371,371,100.0
33,Koutsaeglykades,2223,1858,83.6,712,239,239,100.0
37,Begoulaki,2761,1850,67.0,736,246,246,100.0
31,Ketes,1821,1825,99.8,731,626,626,100.0
43,Proasteio,1765,1781,99.1,689,392,392,100.0
25,Gouva,1747,1747,100.0,684,498,498,100.0
17,Dytiki Par. Proasteiou,1740,1740,100.0,704,451,451,100.0
34,Krya-Iteon,1756,1699,96.8,651,217,217,100.0
21,Epicheirisiako Kentro,3104,1688,54.4,653,218,218,100.0
22,Ethniko Stadio,527,1542,-92.6,582,376,376,100.0
47,Diakou Samakia,1422,1422,100.0,559,264,264,100.0
6,Anatoliki Par. Proasteiou,1473,1410,95.7,552,185,185,100.0
38,Bozaitika,1219,1276,95.3,477,262,262,100.0
16,Dytikos Kastelokampos,1174,1175,99.9,459,416,416,100.0
7,Anatolikos Kastelokampos,1044,1044,100.0,418,346,346,100.0
32,Kotroni,880,880,100.0,345,233,233,100.0
14,Voreia Anthoupoli,486,487,99.8,199,77,77,100.0
