profamMFR	NCOMP	ORDCOM_1	POSIND_1	RELPAR_1	SESSO_1	ETAM_1	tipnu2_1	numnu2_1	rpnuc2_1	ORDCOM_2	POSIND_2	RELPAR_2	SESSO_2	ETAM_2	tipnu2_2	numnu2_2	rpnuc2_2	ORDCOM_3	POSIND_3	RELPAR_3	SESSO_3	ETAM_3	tipnu2_3	numnu2_3	rpnuc2_3	ORDCOM_4	POSIND_4	RELPAR_4	SESSO_4	ETAM_4	tipnu2_4	numnu2_4	rpnuc2_4	ORDCOM_5	POSIND_5	RELPAR_5	SESSO_5	ETAM_5	tipnu2_5	numnu2_5	rpnuc2_5	ORDCOM_6	POSIND_6	RELPAR_6	SESSO_6	ETAM_6	tipnu2_6	numnu2_6	rpnuc2_6	ORDCOM_7	POSIND_7	RELPAR_7	SESSO_7	ETAM_7	tipnu2_7	numnu2_7	rpnuc2_7
000046	01	01	1	01	1	009	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000047	01	01	1	01	1	013	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000048	02	01	1	01	1	018	2	1	2	02	1	02	2	018	2	1	1	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000049	02	01	1	01	1	018	2	1	2	02	1	02	2	017	2	1	1	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000050	01	01	1	01	1	018	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000051	05	01	1	01	1	012	1	1	2	02	1	03	2	011	1	1	1	03	1	06	1	003	1	1	3	04	1	06	1	003	1	1	3	05	1	06	1	001	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000052	03	01	1	01	1	016	1	1	2	02	1	02	2	014	1	1	1	03	1	06	1	008	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000053	03	01	1	01	1	015	1	1	2	02	1	02	2	015	1	1	1	03	1	06	1	009	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000054	02	01	1	01	1	015	3	1	1	02	1	06	1	010	3	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000055	02	01	1	01	1	018	2	1	2	02	1	02	2	017	2	1	1	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000056	03	01	1	01	1	016	1	1	2	02	1	02	2	015	1	1	1	03	1	06	2	009	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000057	03	01	1	01	1	018	2	1	2	02	1	02	2	017	2	1	1	03	2	16	2	018	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000058	02	01	1	01	1	014	3	1	1	02	1	06	1	009	3	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000059	03	01	1	01	2	017	1	1	1	02	1	02	1	017	1	1	2	03	1	06	1	010	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000060	04	01	1	01	2	012	1	1	1	02	1	02	1	012	1	1	2	03	1	06	1	005	1	1	3	04	1	06	1	002	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000061	05	01	1	01	2	012	1	1	1	02	1	02	1	013	1	1	2	03	1	06	2	007	1	1	3	04	1	06	2	006	1	1	3	05	1	06	1	006	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000062	02	01	1	01	2	017	2	1	1	02	1	02	1	017	2	1	2	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000063	03	01	1	01	2	014	1	1	1	02	1	02	1	015	1	1	2	03	1	07	1	009	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000064	04	01	1	01	2	007	1	1	3	02	1	04	1	015	1	1	2	03	1	04	2	015	1	1	1	04	2	12	1	009	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000065	01	01	1	01	2	016	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000066	02	01	1	01	2	016	2	1	1	02	1	02	1	016	2	1	2	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000067	03	01	1	01	2	013	4	1	1	02	1	06	2	009	4	1	3	03	1	06	1	007	4	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000068	02	01	1	01	2	011	4	1	1	02	1	06	1	003	4	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000069	01	01	1	01	2	018	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000070	01	01	1	01	2	009	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000071	01	01	1	01	2	018	0	0	0	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000072	03	01	1	01	2	009	1	1	1	02	1	03	1	009	1	1	2	03	1	06	1	002	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000073	05	01	1	01	1	008	1	1	3	02	1	04	1	016	1	1	2	03	1	04	2	012	1	1	1	04	1	12	2	006	1	1	3	05	1	12	2	001	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
000074	03	01	1	01	1	009	1	1	2	02	1	02	2	009	1	1	1	03	1	06	1	001	1	1	3	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 	  	 	  	 	   	 	 	 
