,,,Και των δύο φύλων ,,,,,,,,,,,,,,,,,Άρρενες,,,,,,,,,,,,,,,,,Θήλεις,,,,,,,,,,,,,,,,
level,location_id,name,sum, 0-4, 5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,sum, 0-4, 5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,sum, 0-4, 5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
0,0,ΣΥΝΟΛΟ ΧΩΡΑΣ,10482487,412752,465740,538490,529726,520619,532682,569596,686797,794315,801716,807125,736214,698206,626429,555556,1206521,5125977,212295,239198,277154,273992,270924,276007,289196,344715,397884,399840,397358,356238,332719,297433,258810,502220,5356509,200460,226545,261334,255736,249698,256678,280403,342078,396429,401880,409770,379972,365489,328999,296748,704305
3,242,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,648220,25670,28602,33782,35918,36599,32891,34185,40155,44984,46585,48315,44759,44234,39936,35961,75648,325315,13268,14739,17555,18521,19341,17989,18249,20631,23072,23817,24441,22195,22251,19903,17507,31835,322907,12400,13860,16229,17394,17260,14905,15938,19522,21909,22765,23871,22566,21986,20029,18451,43817
4,24237,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΧΑΪΑΣ,305979,12766,14058,16210,19049,20824,15864,15960,19220,22123,22145,22725,20526,19771,17985,15672,31090,150354,6572,7233,8449,9728,10747,8183,8061,9485,11063,11055,11100,9710,9520,8660,7514,13276,155623,6190,6822,7759,9318,10075,7678,7902,9731,11063,11094,11621,10819,10248,9328,8156,17817
5,2423701,ΔΗΜΟΣ ΠΑΤΡΕΩΝ,215923,9080,9944,11562,14463,16693,11634,11499,14023,16099,15865,16139,14242,13239,12048,10453,18943,104544,4669,5089,6046,7323,8545,5890,5649,6798,7866,7704,7652,6577,6222,5592,4921,7991,111382,4409,4853,5519,7143,8147,5741,5847,7222,8230,8163,8489,7663,7018,6454,5533,10951
6,242370101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΑΤΡΕΩΝ,173600,7254,7608,8658,11774,14288,9632,9458,11287,12686,12586,12867,11426,10542,9659,8310,15581,83625,3725,3863,4511,5957,7348,4877,4635,5498,6255,6079,6058,5250,4900,4407,3848,6419,89973,3526,3743,4145,5820,6936,4757,4820,5787,6433,6505,6811,6174,5640,5250,4459,9159
7,24237010100,ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΠΑΤΡΕΩΝ,170754,7132,7447,8455,11613,14147,9514,9332,11101,12456,12339,12655,11189,10345,9502,8182,15346,82185,3661,3779,4404,5865,7265,4819,4577,5408,6142,5946,5966,5130,4805,4323,3786,6305,88573,3468,3665,4048,5744,6879,4693,4751,5690,6311,6396,6686,6063,5542,5177,4400,9038
8,2423701010001,"Πάτραι,αι",169886,7097,7408,8385,11560,14104,9465,9283,11055,12398,12270,12585,11139,10275,9448,8134,15283,81752,3649,3760,4370,5839,7244,4791,4546,5385,6113,5915,5935,5105,4765,4299,3761,6268,88136,3450,3646,4019,5718,6857,4672,4733,5668,6287,6357,6647,6032,5508,5153,4376,9012
8,2423701010002,"Μπάλας,ο",257,9,13,15,22,14,9,14,6,16,22,23,21,19,19,15,18,122,6,4,11,7,9,3,8,4,8,12,6,6,15,7,3,13,138,4,6,7,12,3,3,8,5,11,13,14,17,7,9,9,8
8,2423701010003,"Σκιόεσσα,η",527,21,25,37,30,27,30,25,33,35,43,35,29,43,30,22,41,272,8,9,20,15,14,20,14,19,19,18,21,15,21,17,13,20,258,15,18,21,13,11,14,8,16,13,27,16,15,25,10,12,18
8,2423701010004,"Χάραδρον,το",85,4,3,7,4,9,0,7,4,4,7,10,4,5,3,4,3,42,0,3,5,3,0,3,5,3,0,3,0,6,3,4,7,3,41,3,0,4,0,5,0,4,4,3,7,6,3,0,0,0,3
7,24237010101,Δημοτική Κοινότητα Ελικίστρας,1714,72,76,101,94,80,79,72,104,125,139,142,157,127,102,89,151,853,33,37,52,54,48,39,35,53,55,71,54,80,64,51,45,69,857,35,42,51,42,34,42,41,49,68,66,85,76,60,54,42,77
8,2423701010101,"Ελικίστρα,η",275,4,17,13,25,17,17,10,18,12,23,23,28,21,17,11,24,140,3,7,8,14,7,7,6,10,4,13,8,14,12,11,6,12,138,4,7,7,8,8,7,6,5,5,13,11,12,11,8,7,10
8,2423701010102,"Καρυά,η",605,35,29,35,39,29,20,27,42,51,50,46,54,48,34,26,35,312,21,16,22,21,17,10,12,21,20,29,22,29,30,20,12,14,296,12,15,16,20,10,13,13,23,28,18,28,23,22,16,16,19
8,2423701010103,"Πουρναρόκαστρον,το",39,0,0,5,0,0,0,3,3,3,0,3,0,0,4,3,8,21,0,0,0,0,0,0,0,3,0,4,0,0,0,4,3,4,20,0,0,0,0,0,0,3,0,4,0,3,3,0,3,3,3
8,2423701010104,"Ρυάκι,το",97,5,4,3,4,5,3,3,8,4,11,4,7,11,8,5,10,44,4,0,0,4,0,0,5,4,0,3,3,0,3,5,6,5,57,3,3,0,0,4,4,3,3,0,5,3,4,11,5,0,7
8,2423701010105,"Ρωμανός,ο",696,26,28,45,30,32,36,31,38,56,49,61,66,44,40,45,74,346,10,17,21,18,20,23,14,20,28,22,23,31,23,17,23,36,352,13,13,22,14,10,16,13,16,30,25,35,38,19,21,19,41
7,24237010102,Δημοτική Κοινότητα Μοίρας,45,3,0,4,4,3,0,5,3,3,0,5,3,0,4,0,6,25,0,0,0,4,5,0,3,7,3,5,3,0,0,6,0,3,24,3,0,4,0,0,0,0,0,3,0,0,0,0,0,0,6
8,2423701010201,"Μοίρα,η",29,3,0,4,4,3,0,0,4,3,0,4,0,0,3,0,6,18,0,0,0,4,5,0,0,3,3,0,3,0,0,6,0,3,14,3,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0
8,2423701010202,"Γκοτσαίικα,τα",14,0,0,0,0,0,0,3,0,4,3,4,3,0,4,0,3,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0
7,24237010103,Δημοτική Κοινότητα Σουλίου,1092,44,82,102,62,54,39,52,76,104,103,74,72,67,48,34,75,560,25,41,54,31,28,19,24,28,58,58,34,42,29,30,18,38,528,22,38,45,28,24,22,26,45,49,42,36,33,41,16,14,40
8,2423701010301,"Νέον Σούλιον,το",1045,44,78,99,62,51,34,51,71,94,101,72,68,66,46,34,71,544,25,43,54,31,27,19,24,28,53,58,33,39,29,28,17,36,504,16,32,47,28,22,18,24,40,46,40,36,28,39,16,14,38
8,2423701010302,"Άγιος Ιωάννης,ο",19,0,0,0,0,5,0,0,0,0,4,0,4,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
8,2423701010303,"Κεφαλόβρυσον,το",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423701010304,"Μιντζαίικα,τα",21,3,7,0,0,0,5,0,3,3,0,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,9,3,3,0,0,0,5,0,3,0,0,0,0,0,0,0,3
8,2423701010305,"Παναγιά,η",4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2423701010306,"Προφήτης Ηλίας,ο",3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,242370102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΒΡΑΧΝΑΙΙΚΩΝ,4836,246,269,334,264,230,222,244,286,384,370,348,306,317,305,265,447,2392,136,147,181,134,133,109,110,126,178,195,172,145,149,151,143,197,2441,108,126,156,134,94,111,137,162,208,178,174,163,166,152,125,253
7,24237010201,Δημοτική Κοινότητα Βραχναιίκων,2911,155,178,214,172,134,129,160,180,239,223,186,167,186,182,144,256,1447,84,97,121,86,77,69,66,80,111,121,99,75,85,87,76,121,1461,69,84,95,88,59,63,97,103,131,105,90,89,99,92,70,138
8,2423701020101,"Βραχναίικα,τα",2642,131,152,194,156,113,108,141,169,228,220,183,152,163,166,127,244,1305,72,81,111,78,68,55,57,69,103,115,95,69,78,78,66,109,1335,61,72,85,82,47,56,82,97,123,102,84,85,88,85,63,133
8,2423701020102,"Δρεσθενά,τα",200,21,27,23,15,17,12,17,8,8,3,7,10,11,7,9,0,100,14,18,13,9,10,5,7,4,0,0,0,6,7,3,9,0,97,10,11,13,4,9,5,13,3,10,0,4,6,7,3,3,0
8,2423701020103,"Μοιραίικα,τα",69,3,0,0,0,0,4,0,3,3,7,0,6,11,9,8,14,41,3,0,0,0,0,4,0,3,3,3,0,5,0,0,3,9,29,0,0,0,0,0,3,3,0,0,3,0,3,8,4,4,9
7,24237010202,Δημοτική Κοινότητα Θεριανού,160,3,8,9,3,5,7,8,10,15,12,13,6,14,13,7,29,79,3,5,5,3,3,0,4,4,6,6,8,3,7,5,5,16,77,3,5,6,3,4,7,0,9,6,3,3,0,5,6,4,15
8,2423701020201,"Θεριανόν,το",160,3,8,9,3,5,7,8,10,15,12,13,6,14,13,7,29,79,3,5,5,3,3,0,4,4,6,6,8,3,7,5,5,16,77,3,5,6,3,4,7,0,9,6,3,3,0,5,6,4,15
