level,location_id,name,sum,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
0,0,ΣΥΝΟΛΟ ΧΩΡΑΣ,5356509,200460,226545,261334,255736,249698,256678,280403,342078,396429,401880,409770,379972,365489,328999,296748,704305
3,242,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,322907,12400,13860,16229,17394,17260,14905,15938,19522,21909,22765,23871,22566,21986,20029,18451,43817
4,24237,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΧΑΪΑΣ,155623,6190,6822,7759,9318,10075,7678,7902,9731,11063,11094,11621,10819,10248,9328,8156,17817
5,2423701,ΔΗΜΟΣ ΠΑΤΡΕΩΝ,111382,4409,4853,5519,7143,8147,5741,5847,7222,8230,8163,8489,7663,7018,6454,5533,10951
6,242370101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΑΤΡΕΩΝ,89973,3526,3743,4145,5820,6936,4757,4820,5787,6433,6505,6811,6174,5640,5250,4459,9159
7,24237010100,ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΠΑΤΡΕΩΝ,88573,3468,3665,4048,5744,6879,4693,4751,5690,6311,6396,6686,6063,5542,5177,4400,9038
8,2423701010001,"Πάτραι,αι",88136,3450,3646,4019,5718,6857,4672,4733,5668,6287,6357,6647,6032,5508,5153,4376,9012
8,2423701010002,"Μπάλας,ο",138,4,6,7,12,3,3,8,5,11,13,14,17,7,9,9,8
8,2423701010003,"Σκιόεσσα,η",258,15,18,21,13,11,14,8,16,13,27,16,15,25,10,12,18
8,2423701010004,"Χάραδρον,το",41,3,0,4,0,5,0,4,4,3,7,6,3,0,0,0,3
7,24237010101,Δημοτική Κοινότητα Ελικίστρας,857,35,42,51,42,34,42,41,49,68,66,85,76,60,54,42,77
8,2423701010101,"Ελικίστρα,η",138,4,7,7,8,8,7,6,5,5,13,11,12,11,8,7,10
8,2423701010102,"Καρυά,η",296,12,15,16,20,10,13,13,23,28,18,28,23,22,16,16,19
8,2423701010103,"Πουρναρόκαστρον,το",20,0,0,0,0,0,0,3,0,4,0,3,3,0,3,3,3
8,2423701010104,"Ρυάκι,το",57,3,3,0,0,4,4,3,3,0,5,3,4,11,5,0,7
