level,location_id,name,sum,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
0,0,ΣΥΝΟΛΟ ΧΩΡΑΣ,5125977,212295,239198,277154,273992,270924,276007,289196,344715,397884,399840,397358,356238,332719,297433,258810,502220
3,242,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,325315,13268,14739,17555,18521,19341,17989,18249,20631,23072,23817,24441,22195,22251,19903,17507,31835
4,24237,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΧΑΪΑΣ,150354,6572,7233,8449,9728,10747,8183,8061,9485,11063,11055,11100,9710,9520,8660,7514,13276
5,2423701,ΔΗΜΟΣ ΠΑΤΡΕΩΝ,104544,4669,5089,6046,7323,8545,5890,5649,6798,7866,7704,7652,6577,6222,5592,4921,7991
6,242370101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΑΤΡΕΩΝ,83625,3725,3863,4511,5957,7348,4877,4635,5498,6255,6079,6058,5250,4900,4407,3848,6419
7,24237010100,ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΠΑΤΡΕΩΝ,82185,3661,3779,4404,5865,7265,4819,4577,5408,6142,5946,5966,5130,4805,4323,3786,6305
8,2423701010001,"Πάτραι,αι",81752,3649,3760,4370,5839,7244,4791,4546,5385,6113,5915,5935,5105,4765,4299,3761,6268
8,2423701010002,"Μπάλας,ο",122,6,4,11,7,9,3,8,4,8,12,6,6,15,7,3,13
8,2423701010003,"Σκιόεσσα,η",272,8,9,20,15,14,20,14,19,19,18,21,15,21,17,13,20
8,2423701010004,"Χάραδρον,το",42,0,3,5,3,0,3,5,3,0,3,0,6,3,4,7,3
7,24237010101,Δημοτική Κοινότητα Ελικίστρας,853,33,37,52,54,48,39,35,53,55,71,54,80,64,51,45,69
8,2423701010101,"Ελικίστρα,η",140,3,7,8,14,7,7,6,10,4,13,8,14,12,11,6,12
8,2423701010102,"Καρυά,η",312,21,16,22,21,17,10,12,21,20,29,22,29,30,20,12,14
8,2423701010103,"Πουρναρόκαστρον,το",21,0,0,0,0,0,0,0,3,0,4,0,0,0,4,3,4
8,2423701010104,"Ρυάκι,το",44,4,0,0,4,0,0,5,4,0,3,3,0,3,5,6,5
8,2423701010105,"Ρωμανός,ο",346,10,17,21,18,20,23,14,20,28,22,23,31,23,17,23,36
7,24237010102,Δημοτική Κοινότητα Μοίρας,25,0,0,0,4,5,0,3,7,3,5,3,0,0,6,0,3
8,2423701010201,"Μοίρα,η",18,0,0,0,4,5,0,0,3,3,0,3,0,0,6,0,3
8,2423701010202,"Γκοτσαίικα,τα",9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4
7,24237010103,Δημοτική Κοινότητα Σουλίου,560,25,41,54,31,28,19,24,28,58,58,34,42,29,30,18,38
8,2423701010301,"Νέον Σούλιον,το",544,25,43,54,31,27,19,24,28,53,58,33,39,29,28,17,36
8,2423701010302,"Άγιος Ιωάννης,ο",6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
8,2423701010303,"Κεφαλόβρυσον,το",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
