level,location_id,name,sum,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
0,0,ΣΥΝΟΛΟ ΧΩΡΑΣ,10482487,412752,465740,538490,529726,520619,532682,569596,686797,794315,801716,807125,736214,698206,626429,555556,1206521
3,242,ΠΕΡΙΦΕΡΕΙΑ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,648220,25670,28602,33782,35918,36599,32891,34185,40155,44984,46585,48315,44759,44234,39936,35961,75648
4,24237,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΧΑΪΑΣ,305979,12766,14058,16210,19049,20824,15864,15960,19220,22123,22145,22725,20526,19771,17985,15672,31090
5,2423701,ΔΗΜΟΣ ΠΑΤΡΕΩΝ,215923,9080,9944,11562,14463,16693,11634,11499,14023,16099,15865,16139,14242,13239,12048,10453,18943
6,242370101,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΑΤΡΕΩΝ,173600,7254,7608,8658,11774,14288,9632,9458,11287,12686,12586,12867,11426,10542,9659,8310,15581
7,24237010100,ΨΕΥΔΟΔΗΜΟΤΙΚΗ ΚΟΙΝΟΤΗΤΑ ΠΑΤΡΕΩΝ,170754,7132,7447,8455,11613,14147,9514,9332,11101,12456,12339,12655,11189,10345,9502,8182,15346
8,2423701010001,"Πάτραι,αι",169886,7097,7408,8385,11560,14104,9465,9283,11055,12398,12270,12585,11139,10275,9448,8134,15283
8,2423701010002,"Μπάλας,ο",257,9,13,15,22,14,9,14,6,16,22,23,21,19,19,15,18
8,2423701010003,"Σκιόεσσα,η",527,21,25,37,30,27,30,25,33,35,43,35,29,43,30,22,41
8,2423701010004,"Χάραδρον,το",85,4,3,7,4,9,0,7,4,4,7,10,4,5,3,4,3
7,24237010101,Δημοτική Κοινότητα Ελικίστρας,1714,72,76,101,94,80,79,72,104,125,139,142,157,127,102,89,151
8,2423701010101,"Ελικίστρα,η",275,4,17,13,25,17,17,10,18,12,23,23,28,21,17,11,24
8,2423701010102,"Καρυά,η",605,35,29,35,39,29,20,27,42,51,50,46,54,48,34,26,35
8,2423701010103,"Πουρναρόκαστρον,το",39,0,0,5,0,0,0,3,3,3,0,3,0,0,4,3,8
8,2423701010104,"Ρυάκι,το",97,5,4,3,4,5,3,3,8,4,11,4,7,11,8,5,10
8,2423701010105,"Ρωμανός,ο",696,26,28,45,30,32,36,31,38,56,49,61,66,44,40,45,74
7,24237010102,Δημοτική Κοινότητα Μοίρας,45,3,0,4,4,3,0,5,3,3,0,5,3,0,4,0,6
8,2423701010201,"Μοίρα,η",29,3,0,4,4,3,0,0,4,3,0,4,0,0,3,0,6
8,2423701010202,"Γκοτσαίικα,τα",14,0,0,0,0,0,0,3,0,4,3,4,3,0,4,0,3
7,24237010103,Δημοτική Κοινότητα Σουλίου,1092,44,82,102,62,54,39,52,76,104,103,74,72,67,48,34,75
