name,sum,active_sum,active_employed,active_unemployed,inactive_sum,inactive_students,inactive_pensioners,inactive_income_recip,inactive_homemakers,inactive_others
sum,155623,54299,43967,10334,101320,30605,32623,256,30402,7433
Διδακτορικό,1042,834,791,40,211,15,161,3,26,0
Μεταπτυχιακό,5747,5141,4618,520,609,202,203,11,192,3
"Πτυχίο Πανεπιστημίου-Πολυτεχνείου, ΑΤΕΙ, ΑΣΠΑΙΤΕ και ισότιμων σχολών",24591,17389,14803,2583,7200,1199,3781,51,2096,78
Πτυχίο Ανώτερων Επαγγελματικών Σχολών,732,341,288,55,389,31,224,0,132,0
"Πτυχίο μεταδευτεροβάθμιας εκπαίδευσης (ΙΕΚ, Κολέγια κλπ.)",7109,4727,3668,1057,2379,162,807,18,1365,23
"Απολυτήριο Λυκείου (Γενικού, Εκκλησιαστικού κ.λπ. ή εξαταξίου Γυμνασίου)",40828,14836,11844,2996,25989,9674,6845,92,9162,216
Πτυχίο Επαγγελματικού Λυκείου,5848,3413,2458,951,2438,446,256,7,1695,33
Πτυχίο Επαγγελματικών Σχολών,1856,860,667,196,998,33,525,3,423,10
Απολυτήριο τριτάξιου Γυμνασίου,13641,2910,2085,823,10729,4286,2286,26,4052,83
Απολυτήριο Δημοτικού,31435,3523,2592,927,27915,4674,13234,36,9684,282
"Εγκατέλειψε ή δε φοίτησε στο  Δημοτικό, αλλά γνωρίζει γραφή και ανάγνωση",4129,152,89,66,3975,21,2909,4,901,140
Ολοκλήρωσε την προσχολική αγωγή,8898,5,4,5,8896,8740,85,0,42,28
Δεν γνωρίζει γραφή και ανάγνωση,2507,173,57,113,2336,94,1308,0,627,308
Μη κατατασσόμενοι (άτομα γεννηθέντα μετά την 1/1/2016),7265,0,0,0,7265,1034,0,0,0,6229
