name,sum,active_sum,active_employed,active_unemployed,inactive_sum,inactive_students,inactive_pensioners,inactive_income_recip,inactive_homemakers,inactive_others
sum,150354,71778,58774,13006,78573,32286,32858,423,1030,11977
Διδακτορικό,1754,1344,1292,56,413,19,381,4,3,5
Μεταπτυχιακό,4242,3728,3399,327,517,179,268,16,18,32
"Πτυχίο Πανεπιστημίου-Πολυτεχνείου, ΑΤΕΙ, ΑΣΠΑΙΤΕ και ισότιμων σχολών",20320,14308,12640,1665,6009,1052,4262,87,99,503
Πτυχίο Ανώτερων Επαγγελματικών Σχολών,1236,609,512,95,625,42,552,10,6,19
"Πτυχίο μεταδευτεροβάθμιας εκπαίδευσης (ΙΕΚ, Κολέγια κλπ.)",4998,3879,3095,781,1122,144,791,21,64,102
"Απολυτήριο Λυκείου (Γενικού, Εκκλησιαστικού κ.λπ. ή εξαταξίου Γυμνασίου)",38593,20533,17084,3452,18064,9811,6396,151,277,1429
Πτυχίο Επαγγελματικού Λυκείου,10256,8416,6773,1641,1838,673,766,30,68,301
Πτυχίο Επαγγελματικών Σχολών,5080,2954,2391,561,2128,39,1925,18,19,125
Απολυτήριο τριτάξιου Γυμνασίου,15247,6621,5253,1370,8624,4610,3269,40,144,562
Απολυτήριο Δημοτικού,27485,8416,5852,2567,19067,5170,12491,38,250,1118
"Εγκατέλειψε ή δε φοίτησε στο  Δημοτικό, αλλά γνωρίζει γραφή και ανάγνωση",2083,448,263,189,1637,37,1373,6,32,189
Ολοκλήρωσε την προσχολική αγωγή,9438,27,19,11,9415,9322,51,0,7,32
Δεν γνωρίζει γραφή και ανάγνωση,1920,495,199,299,1423,113,345,0,32,936
Μη κατατασσόμενοι (άτομα γεννηθέντα μετά την 1/1/2016),7702,0,0,0,7702,1079,0,0,0,6620
