education,sum,active_sum,active_employed,active_unemployed,inactive_sum,inactive_students,inactive_pensioners,inactive_income_recip,inactive_homemakers,inactive_others
sum,305979,126079,102739,23342,179897,62895,65484,676,31429,19413
Διδακτορικό,2800,2181,2086,92,622,37,544,5,32,10
Μεταπτυχιακό,9988,8866,8020,849,1124,383,473,29,207,36
"Πτυχίο Πανεπιστημίου-Πολυτεχνείου, ΑΤΕΙ, ΑΣΠΑΙΤΕ και ισότιμων σχολών",44908,31699,27445,4251,13212,2249,8046,136,2198,584
Πτυχίο Ανώτερων Επαγγελματικών Σχολών,1966,947,797,148,1016,71,779,7,140,19
"Πτυχίο μεταδευτεροβάθμιας εκπαίδευσης (ΙΕΚ, Κολέγια κλπ.)",12105,8604,6765,1841,3499,309,1595,41,1431,122
"Απολυτήριο Λυκείου (Γενικού, Εκκλησιαστικού κ.λπ. ή εξαταξίου Γυμνασίου)",79419,35366,28924,6445,44049,19481,13238,241,9436,1648
Πτυχίο Επαγγελματικού Λυκείου,16102,11827,9234,2589,4278,1121,1019,40,1767,337
Πτυχίο Επαγγελματικών Σχολών,6938,3812,3055,754,3123,74,2447,23,445,138
Απολυτήριο τριτάξιου Γυμνασίου,28886,9533,7341,2195,19349,8892,5557,64,4198,643
Απολυτήριο Δημοτικού,58918,11936,8441,3498,46979,9846,25722,72,9937,1402
"Εγκατέλειψε ή δε φοίτησε στο  Δημοτικό, αλλά γνωρίζει γραφή και ανάγνωση",6210,598,348,252,5610,55,4280,13,935,331
Ολοκλήρωσε την προσχολική αγωγή,18340,34,25,12,18308,18063,134,0,52,63
Δεν γνωρίζει γραφή και ανάγνωση,4431,670,258,410,3757,203,1656,0,655,1242
Μη κατατασσόμενοι (άτομα γεννηθέντα μετά την 1/1/2016),14963,0,0,0,14963,2115,0,0,0,12847
