age_group,male_sum,male_employed,male_unemployed,female_sum,female_employed,female_unemployed,sum,sum_employed,sum_unemployed,m_emp,f_emp,sum_emp
15-19,298200,13300,284900,296400,3500,292900,594600,16800,577900,4.460093897,1.180836707,2.82542886
20-24,234100,90500,143500,231900,83500,148300,466000,174100,291900,38.65869287,36.00689953,37.36051502
25-29,305400,218400,86900,275500,168600,106900,580900,387100,193800,71.51277014,61.19782214,66.63797556
30-34,281366,240675,40719,268179,174824,93326,549546,415499,134046,85.53805364,65.18929521,75.60768343
35-39,319664,273434,46262,304681,198619,106029,624346,472054,152291,85.53793984,65.18916506,75.60775596
40-44,371868,318089,53817,354438,231056,123344,726307,549145,177162,85.53814794,65.18939843,75.60783525
45-49,526447,414683,111764,561010,314296,246714,1087494,728980,358478,78.77013261,56.02324379,67.03301352
50-54,476404,375264,101140,507681,284419,223261,984118,659684,324401,78.77011948,56.02317203,67.0330184
55-59,307645,242333,65312,327843,183668,144174,635510,426001,209487,78.77033594,56.02315743,67.03293418
60-64,156302,123119,33182,166563,93314,73249,322876,216433,106432,78.76994536,56.02324646,67.03285472
65-69,961937,71615,890321,1213212,41569,1171643,2175150,113184,2061965,7.444874249,3.426359119,5.203503207
70-74,86968,6474,80493,109686,3758,105927,196654,10232,186421,7.444117377,3.426143719,5.203046976
75+,36394,2709,33684,45901,1572,44328,82295,4282,78013,7.443534649,3.424761988,5.203232274
