age_group,male_sum,male_employed,male_unemployed,female_sum,female_employed,female_unemployed,sum,sum_employed,sum_unemployed
15-19,298200,13300,284900,296400,3500,292900,594600,16800,577900
20-24,234100,90500,143500,231900,83500,148300,466000,174100,291900
25-29,305400,218400,86900,275500,168600,106900,580900,387100,193800
30-34,281366,240675,40719,268179,174824,93326,549546,415499,134046
35-39,319664,273434,46262,304681,198619,106029,624346,472054,152291
40-44,371868,318089,53817,354438,231056,123344,726307,549145,177162
45-49,526447,414683,111764,561010,314296,246714,1087494,728980,358478
50-54,476404,375264,101140,507681,284419,223261,984118,659684,324401
55-59,307645,242333,65312,327843,183668,144174,635510,426001,209487
60-64,156302,123119,33182,166563,93314,73249,322876,216433,106432
65-69,961937,71615,890321,1213212,41569,1171643,2175150,113184,2061965
70-74,86968,6474,80493,109686,3758,105927,196654,10232,186421
75+,36394,2709,33684,45901,1572,44328,82295,4282,78013
