age_group,sum,active_sum,active_employed,active_unemployed,inactive_sum,inactive_students,inactive_pensioners,inactive_income_recip,inactive_homemakers,inactive_others
sum,155623,54299,43967,10334,101320,30605,32623,256,30402,7433
0-14,20771,0,0,0,20771,14430,0,0,60,6280
15-19,9318,429,213,220,8891,8630,0,0,233,29
20-24,10075,3003,2084,916,7075,6547,0,0,459,73
25-29,7678,6049,4284,1763,1631,782,0,4,736,110
30-34,7902,5963,4794,1172,1936,139,0,10,1713,72
35-39,9731,7242,5971,1273,2492,63,0,12,2320,89
40-44,11063,8160,6863,1299,2900,10,32,22,2701,130
45-49,11094,7774,6570,1206,3318,3,80,29,3076,130
50-54,11621,7314,6215,1102,4310,0,506,39,3679,90
55-59,10819,4999,4197,800,5817,0,1935,37,3768,80
60-64,10248,2483,2019,461,7768,0,3793,27,3853,93
65-69,9328,739,619,123,8586,0,5597,28,2877,81
70-74,8156,96,96,0,8062,0,5925,22,2064,60
75+,17817,48,48,0,17766,0,14754,28,2866,122
