age_group,sum,active_sum,active_employed,active_unemployed,inactive_sum,inactive_students,inactive_pensioners,inactive_income_recip,inactive_homemakers,inactive_others
sum,150354,71778,58774,13006,78573,32286,32858,423,1030,11977
0-4,6603,0,0,0,6603,4605,0,0,1,1995
5-9,7271,0,0,0,7271,5071,0,0,1,2197
10-14,8384,0,0,0,8384,5848,0,0,2,2533
15-19,9728,759,265,496,8972,8747,0,5,21,201
20-24,10747,3527,2269,1256,7222,6709,0,5,49,461
25-29,8183,6666,4747,1916,1521,1064,0,19,48,387
30-34,8061,7287,5990,1299,771,166,0,24,42,547
35-39,9485,8730,7456,1276,752,65,0,28,58,598
40-44,11063,10237,8851,1381,824,9,59,44,65,653
45-49,11055,10149,8785,1367,902,3,119,47,66,668
50-54,11100,9798,8380,1416,1305,0,608,55,74,572
55-59,9710,7773,6522,1253,1934,0,1321,75,71,466
60-64,9520,4840,3849,989,4683,0,4166,57,62,401
65-69,8660,1645,1286,357,7013,0,6634,33,225,123
70-74,7514,265,265,0,7252,0,7028,14,101,106
75+,13276,108,108,0,13165,0,12927,21,143,76
