age_group,sum,active_sum,active_employed,active_unemployed,inactive_sum,inactive_students,inactive_pensioners,inactive_income_recip,inactive_homemakers,inactive_others
sum,305979,126079,102739,23342,179897,62895,65484,676,31429,19413
0-4,12763,0,0,0,12763,8885,0,0,20,3859
5-9,14055,0,0,0,14055,9784,0,0,22,4250
10-14,16207,0,0,0,16207,11282,0,0,25,4900
15-19,19049,1191,480,712,17861,17375,0,5,251,231
20-24,20824,6527,4350,2175,14295,13258,0,3,504,532
25-29,15864,12713,9027,3682,3154,1844,0,21,787,499
30-34,15960,13253,10782,2468,2705,302,0,32,1753,616
35-39,19220,15974,13429,2547,3242,131,0,38,2380,690
40-44,22123,18399,15718,2683,3722,22,87,68,2762,781
45-49,22145,17920,15352,2571,4222,7,196,74,3145,796
50-54,22725,17110,14597,2515,5612,0,1111,91,3749,664
55-59,20526,12775,10717,2056,7749,0,3258,115,3837,547
60-64,19771,7320,5870,1447,12454,0,7961,87,3917,491
65-69,17985,2387,1902,481,15602,0,12234,57,3105,206
70-74,15672,358,358,0,15311,0,12955,34,2162,163
75+,31090,155,155,0,30934,0,27683,52,3012,194
