step,new_exposed
0,8
1,5
2,8
3,14
4,4
5,14
6,32
7,19
8,29
9,32
10,38
11,61
12,79
13,88
14,134
15,173
16,188
17,204
18,262
19,334
20,289
21,344
22,390
23,478
24,505
25,632
26,754
27,794
28,1076
29,1269
30,1488
31,1805
32,2067
33,2417
34,2844
35,3250
36,4054
37,4539
38,5126
39,5549
40,6656
41,7076
42,8208
43,8554
44,9274
45,10003
46,10325
47,10030
48,9972
49,9559
50,8767
51,7685
52,6775
53,5568
54,4460
55,3624
56,2910
57,2223
58,1799
59,1480
60,1292
61,1020
62,836
63,690
64,617
65,516
66,467
67,417
68,354
69,265
70,271
71,209
72,199
73,183
74,175
75,164
76,135
77,98
78,108
79,98
80,91
81,67
82,76
83,61
84,73
85,49
86,57
87,39
88,43
89,31
90,44
91,35
92,30
93,26
94,31
95,21
96,21
97,15
98,16
99,14
100,11
101,10
102,14
103,8
104,10
105,11
106,5
107,5
108,8
109,6
110,2
111,10
112,4
113,6
114,1
115,5
116,1
117,1
118,1
119,1
120,2
121,0
122,1
123,1
124,2
125,0
126,0
127,1
128,1
129,1
130,0
131,1
132,1
133,1
134,0
135,0
136,0
137,0
138,0
139,0
140,1
141,0
142,0
143,1
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,1
163,0
164,0
165,0
166,1
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
