step,new_exposed
0,16
1,4
2,17
3,26
4,10
5,30
6,37
7,37
8,48
9,101
10,101
11,124
12,170
13,237
14,324
15,372
16,535
17,589
18,926
19,1170
20,1501
21,1901
22,2535
23,3458
24,4275
25,5562
26,6964
27,8499
28,10347
29,12005
30,14032
31,14924
32,15537
33,15715
34,14120
35,12603
36,10340
37,8652
38,6668
39,5169
40,4003
41,3036
42,2415
43,1814
44,1560
45,1128
46,943
47,726
48,611
49,536
50,467
51,352
52,282
53,257
54,213
55,205
56,162
57,163
58,145
59,115
60,108
61,98
62,80
63,75
64,73
65,62
66,47
67,47
68,41
69,41
70,35
71,39
72,43
73,37
74,30
75,29
76,13
77,15
78,15
79,10
80,11
81,7
82,20
83,11
84,11
85,7
86,8
87,1
88,5
89,2
90,4
91,4
92,5
93,1
94,4
95,3
96,1
97,2
98,1
99,1
100,0
101,1
102,0
103,4
104,1
105,0
106,1
107,1
108,0
109,1
110,0
111,2
112,0
113,0
114,0
115,0
116,0
117,0
118,3
119,2
120,1
121,1
122,0
123,0
124,1
125,1
126,1
127,1
128,0
129,0
130,0
131,2
132,0
133,0
134,0
135,0
136,0
137,2
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
