step,R_SAR20,U_SAR20
0,7.2,6.6
1,5.2,5.4
2,7.4,10.8
3,11.0,7.4
4,10.6,12.6
5,13.6,10.2
6,13.2,15.2
7,8.8,13.0
8,14.2,9.4
9,13.8,11.2
10,13.2,8.0
11,10.4,12.8
12,13.6,11.2
13,14.0,16.0
14,16.6,22.6
15,23.2,21.6
16,26.0,28.4
17,29.8,31.2
18,33.2,33.4
19,43.8,41.0
20,48.0,40.8
21,48.8,46.2
22,65.0,52.6
23,55.6,61.2
24,70.0,71.0
25,77.0,86.2
26,86.0,91.6
27,86.8,99.8
28,104.4,105.4
29,103.4,123.2
30,122.8,126.6
31,123.2,157.8
32,138.2,179.8
33,145.6,192.6
34,156.4,213.4
35,205.6,231.0
36,232.2,276.4
37,234.2,310.8
38,279.6,338.0
39,306.6,362.6
40,349.2,443.6
41,374.2,465.6
42,419.6,539.2
43,468.8,592.2
44,505.4,665.2
45,545.6,730.2
46,602.4,825.2
47,649.6,902.8
48,722.0,1012.2
49,783.8,1096.0
50,850.2,1248.4
51,928.8,1340.8
52,986.4,1542.8
53,1083.0,1658.0
54,1193.8,1878.2
55,1270.2,2040.2
56,1423.8,2205.0
57,1540.2,2477.6
58,1659.6,2639.6
59,1823.6,2947.6
60,1923.6,3123.0
61,2087.4,3375.4
62,2250.4,3593.0
63,2389.6,3889.8
64,2525.4,4043.2
65,2679.4,4278.2
66,2884.2,4473.4
67,2949.6,4608.8
68,3099.0,4796.8
69,3269.4,4920.4
70,3393.2,5056.6
71,3541.0,5167.8
72,3657.6,5132.6
73,3767.2,5031.2
74,3909.0,5017.2
75,3961.6,4810.4
76,4005.8,4689.6
77,4071.8,4464.0
78,4074.2,4239.2
79,4113.8,3966.0
80,4152.8,3655.8
81,4101.6,3428.8
82,3999.4,3213.2
83,3870.6,2876.6
84,3769.2,2610.0
85,3680.4,2333.8
86,3563.4,2082.0
87,3387.4,1893.2
88,3220.0,1637.0
89,3030.6,1462.8
90,2784.6,1280.8
91,2654.0,1114.4
92,2392.6,985.4
93,2186.8,885.8
94,1993.8,782.0
95,1828.6,689.8
96,1608.6,589.8
97,1421.8,533.2
98,1319.4,501.4
99,1132.4,407.6
100,1016.2,377.0
101,902.8,342.2
102,788.6,283.6
103,729.2,271.6
104,646.6,246.2
105,547.2,226.8
106,507.8,205.6
107,439.2,184.2
108,393.2,153.2
109,360.2,150.0
110,308.6,140.4
111,281.4,122.8
112,241.2,120.6
113,225.4,104.0
114,208.2,95.6
115,179.4,92.4
116,162.2,73.4
117,145.2,71.0
118,137.2,69.8
119,122.2,57.4
120,104.2,53.6
121,93.0,51.8
122,93.0,47.8
123,87.2,44.0
124,68.8,40.2
125,69.2,33.8
126,70.6,34.6
127,51.8,26.2
128,55.6,26.2
129,46.4,25.8
130,45.8,24.0
131,33.0,19.2
132,33.2,17.2
133,30.6,17.2
134,28.4,15.0
135,25.8,11.6
136,22.4,13.2
137,19.0,11.2
138,17.8,9.4
139,16.8,11.8
140,17.4,10.0
141,14.8,10.4
142,13.6,7.0
143,11.4,5.0
144,8.4,5.0
145,11.2,6.6
146,10.4,4.0
147,10.4,5.8
148,8.2,5.6
149,6.8,3.4
150,3.6,3.6
151,4.2,3.4
152,5.4,1.8
153,6.0,3.0
154,3.6,3.8
155,3.8,2.0
156,3.6,1.6
157,4.0,2.0
158,3.4,1.8
159,2.8,1.8
160,2.6,0.8
161,1.2,2.0
162,2.4,1.4
163,1.4,1.0
164,2.2,0.4
165,2.2,0.2
166,2.4,1.2
167,1.2,0.6
168,0.8,0.0
169,2.0,0.8
170,1.0,0.6
171,1.0,0.4
172,0.4,0.4
173,0.6,0.6
174,0.6,0.2
175,0.6,0.6
176,0.6,0.4
177,0.4,0.4
178,0.2,0.2
179,0.8,0.0
