scenario,seed,peak_incidence,attack_rate,day_of_peak
R,0,9980,0.860045293085163,50
R,1,9720,0.8589523311119036,44
R,2,9951,0.8589430687222996,43
R,3,9766,0.859007905449527,44
R,4,10397,0.8585540483589361,45
R,5,10213,0.8591097917351698,49
R,6,10105,0.8590217990339328,43
R,7,10273,0.8581233472423551,43
R,8,9841,0.8582298647227998,44
R,9,10003,0.8577852700218129,44
R,10,9820,0.8591329477091795,42
R,11,9738,0.8590356926183386,43
R,12,10108,0.858646672254975,50
R,13,10063,0.85856331074854,46
R,14,10681,0.8590171678391308,44
R,15,10186,0.8583271198136407,47
R,16,10371,0.8592302028000204,43
R,17,10111,0.8589708558911113,42
R,18,10392,0.8586142538913615,47
R,19,10489,0.8591422100987833,42
R,20,10285,0.8582761766708193,44
R,21,10017,0.8589013879690821,44
R,22,9879,0.8596470103321956,45
R,23,10502,0.8581418720215628,42
R,24,9855,0.8585494171641341,46
R,25,10139,0.8592116780208126,43
R,26,9711,0.8592209404104165,45
R,27,10325,0.8588041328782412,46
R,28,9965,0.85856331074854,43
R,29,9893,0.8589893806703192,55
R,30,10660,0.8586235162809653,45
R,31,9620,0.8587254025666081,42
R,32,10325,0.8580307233463161,43
R,33,9873,0.8589754870859133,45
R,34,9883,0.8580816664891375,47
R,35,10089,0.8591607348779912,43
R,36,10381,0.8584567932680952,42
R,37,10431,0.8590403238131405,45
R,38,9984,0.8581881839695823,42
R,39,10005,0.8591144229299716,45
R,40,10084,0.858044616930722,45
R,41,9791,0.860045293085163,43
R,42,10344,0.858567941943342,42
R,43,9950,0.8589615935015075,44
R,44,10040,0.8586976153977965,46
R,45,9994,0.8588319200470529,43
R,46,10449,0.8584104813200758,41
R,47,10019,0.8574749799700825,44
R,48,10115,0.8581881839695823,43
R,49,10213,0.8586929842029946,40
U,0,15705,0.9251969415589528,30
U,1,15749,0.9251089488577158,33
U,2,15715,0.9257387913507806,33
U,3,15674,0.9255998555067222,31
U,4,15573,0.9258638336104331,34
U,5,15755,0.9262806411426083,32
U,6,15396,0.9251598920005373,30
U,7,15626,0.9253775581562287,30
U,8,15761,0.9259842446752837,31
U,9,15583,0.9253312462082093,30
U,10,15667,0.9256832170131573,31
U,11,15497,0.9263871586230532,30
U,12,15553,0.9252803030653879,33
U,13,15894,0.9259147767532546,31
U,14,15423,0.9252803030653879,33
U,15,15582,0.9246689853515309,31
U,16,15405,0.9252525158965762,31
U,17,15751,0.9258638336104331,32
U,18,15335,0.925535018779495,32
U,19,15510,0.9258175216624137,31
U,20,15379,0.9256832170131573,32
U,21,15762,0.9256507986495436,32
U,22,15506,0.9252339911173684,34
U,23,15899,0.9250996864681119,31
U,24,15596,0.9258499400260273,29
U,25,15440,0.9257387913507806,31
U,26,15684,0.925956457506472,32
U,27,15336,0.925266409480982,34
U,28,15627,0.925877727194839,33
U,29,15821,0.9249561194292516,37
U,30,15567,0.9255766995327125,32
U,31,15496,0.9256693234287514,32
U,32,15523,0.9252062039485567,31
U,33,15555,0.9259703510908779,32
U,34,15706,0.9246411981827192,34
U,35,15581,0.9254470260782579,33
U,36,15466,0.9252941966497936,30
U,37,15564,0.926660399116368,31
U,38,15834,0.9263686338438454,31
U,39,15658,0.9257619473247903,34
U,40,15660,0.9254655508574657,32
U,41,15581,0.9255026004158813,31
U,42,15443,0.9255674371431085,32
U,43,15578,0.9258638336104331,31
U,44,15723,0.925794365688404,32
U,45,15443,0.925613749091128,31
U,46,15586,0.9259425639220662,31
U,47,15728,0.9253775581562287,32
U,48,15477,0.9251598920005373,32
U,49,15631,0.9255720683379105,30
