id,onoma,long,lat
1,ΓΥΜΝΑΣΙΟ ΒΑΡΘΟΛΟΜΙΟΥ ΜΟΥΣΙΚΟ,21.207899,37.860054
2,ΓΥΜΝΑΣΙΟ ΚΕΡΑΜΙΔΙΑΣ,21.46153,37.851509
3,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΔΑΦΝΗΣ ΚΑΛΑΒΡΥΤΩΝ,,
4,ΓΥΜΝΑΣΙΟ ΚΑΡΑΤΟΥΛΑ,21.537596,37.734251
5,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΜΥΤΙΚΑ,20.945659,38.66767
6,1ο ΓΥΜΝΑΣΙΟ ΠΥΡΓΟΥ,21.437116,37.675261
7,2ο ΓΥΜΝΑΣΙΟ ΠΥΡΓΟΥ,21.431099,37.673528
8,ΓΥΜΝΑΣΙΟ ΣΙΜΟΠΟΥΛΟΥ,21.572047,37.849805
9,ΓΥΜΝΑΣΙΟ ΑΝΔΡΑΒΙΔΑΣ,21.270202,37.90619
10,ΓΥΜΝΑΣΙΟ ΒΑΡΔΑΣ,21.365354,38.031541
11,ΓΥΜΝΑΣΙΟ ΛΕΧΑΙΝΩΝ,21.26249,37.937023
12,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΑΘΑΝΑΣΙΟΥ ΔΙΑΚΟΥ,22.176548,38.696141
13,1ο ΓΥΜΝΑΣΙΟ ΑΜΑΛΙΑΔΑΣ,21.352591,37.794212
14,ΓΥΜΝΑΣΙΟ ΤΡΑΓΑΝΟΥ ΗΛΕΙΑΣ,21.316525,37.896847
15,ΓΥΜΝΑΣΙΟ ΑΙΤΩΛΙΚΟΥ,21.319359,38.427731
16,2ο ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ ΕΣΠΕΡΙΝΟ,,
17,ΑΡΣΑΚΕΙΟ ΓΥΜΑΣΙΟ ΠΑΤΡΑΣ,,
18,ΓΥΜΝΑΣΙΟ ΕΦΥΡΑΣ ΗΛΕΙΑΣ,21.518517,37.855628
19,ΓΥΜΝΑΣΙΟ ΔΙΑΚΟΠΤΟΥ,22.200553,38.188714
20,17ο ΓΥΜΝΑΣΙΟ ΠΑΤΡΑΣ,21.750349,38.231813
21,ΓΥΜΝΑΣΙΟ ΑΚΡΑΤΑΣ,22.315972,38.152904
22,ΓΥΜΝΑΣΙΟ ΚΑΤΩ ΑΧΑΙΑΣ,21.54315,38.142529
23,ΔΗΜΟΤΙΚΟ ΣΧΟΛΕΙΟ ΓΑΡΕΦΕΙΟΥ,22.045278,41.029712
