seed,day,R_new,U_new
0,0,3.0,3.0
0,1,6.0,3.0
0,2,1.0,0.0
0,3,0.0,0.0
0,4,2.0,4.0
0,5,8.0,7.0
0,6,5.0,8.0
0,7,7.0,3.0
0,8,4.0,2.0
0,9,3.0,2.0
0,10,3.0,6.0
0,11,4.0,2.0
0,12,5.0,13.0
0,13,4.0,14.0
0,14,4.0,19.0
0,15,3.0,35.0
0,16,8.0,31.0
0,17,18.0,24.0
0,18,12.0,26.0
0,19,15.0,30.0
0,20,10.0,30.0
0,21,29.0,30.0
0,22,34.0,36.0
0,23,36.0,22.0
0,24,39.0,34.0
0,25,53.0,31.0
0,26,36.0,43.0
0,27,52.0,62.0
0,28,48.0,70.0
0,29,36.0,75.0
0,30,54.0,90.0
0,31,53.0,96.0
0,32,54.0,109.0
0,33,69.0,115.0
0,34,84.0,110.0
0,35,101.0,158.0
0,36,82.0,164.0
0,37,99.0,178.0
0,38,105.0,193.0
0,39,134.0,207.0
0,40,171.0,290.0
0,41,172.0,303.0
0,42,211.0,380.0
0,43,223.0,412.0
0,44,274.0,464.0
0,45,262.0,499.0
0,46,318.0,593.0
0,47,377.0,689.0
0,48,387.0,767.0
0,49,416.0,806.0
0,50,484.0,975.0
0,51,506.0,1017.0
0,52,567.0,1167.0
0,53,602.0,1252.0
0,54,633.0,1407.0
0,55,772.0,1393.0
0,56,832.0,1639.0
0,57,966.0,1752.0
0,58,996.0,2013.0
0,59,1180.0,2163.0
0,60,1231.0,2436.0
0,61,1412.0,2639.0
0,62,1499.0,2983.0
0,63,1656.0,3296.0
0,64,1565.0,3643.0
0,65,1864.0,3930.0
0,66,1866.0,4261.0
0,67,2041.0,4519.0
0,68,2220.0,4816.0
0,69,2395.0,5076.0
0,70,2660.0,5356.0
0,71,2903.0,5389.0
0,72,3203.0,5622.0
0,73,3329.0,5597.0
0,74,3588.0,5520.0
0,75,3745.0,5462.0
0,76,3882.0,5477.0
0,77,3882.0,5375.0
0,78,4156.0,5253.0
0,79,4336.0,4853.0
0,80,4301.0,4528.0
0,81,4429.0,4254.0
0,82,4360.0,4005.0
0,83,4719.0,3571.0
