step,R_SAR15,U_SAR15,R_SAR20,U_SAR20,R_SAR25,U_SAR25,R_SAR30,U_SAR30
0,7.2,6.98,7.24,7.02,7.26,7.1,7.38,7.22
1,4.96,4.74,4.96,4.82,5.14,4.88,5.38,5.1
2,6.88,7.02,6.76,7.2,6.84,7.36,6.86,8.0
3,8.22,8.44,8.8,8.26,9.0,8.48,9.44,8.36
4,9.54,9.6,9.58,10.18,9.32,10.52,9.74,10.06
5,9.46,9.44,10.06,9.04,10.4,10.22,10.58,10.46
6,9.32,10.1,10.2,11.18,10.36,10.98,11.18,10.86
7,8.24,7.3,8.24,8.52,8.96,9.98,9.56,10.82
8,7.2,6.9,8.68,8.24,8.48,9.14,9.96,9.28
9,7.66,7.98,8.08,9.48,8.9,10.12,9.96,11.28
10,7.5,8.42,8.94,10.04,9.86,10.98,10.82,13.8
11,8.7,10.22,9.2,11.48,11.26,12.7,12.8,15.76
12,9.92,10.4,10.18,13.22,11.64,15.4,14.6,19.8
13,10.16,13.92,12.4,15.44,14.54,17.4,16.1,23.92
14,11.06,14.92,14.88,18.1,16.58,22.14,20.36,24.82
15,12.54,18.08,16.56,20.34,18.88,26.1,22.86,32.2
16,15.16,20.34,20.24,24.2,21.62,29.26,28.62,35.66
17,16.8,23.06,21.84,26.94,25.22,34.9,32.44,42.76
18,19.8,25.74,24.9,31.12,30.44,39.98,34.52,48.18
19,20.86,29.24,27.24,34.02,33.3,44.4,42.56,55.1
20,26.16,30.84,30.8,39.82,39.98,49.6,45.96,65.76
21,27.1,34.4,33.38,44.18,45.3,54.4,53.32,70.8
22,31.76,37.74,39.8,52.44,49.92,63.2,59.64,85.92
23,34.24,42.76,44.0,54.84,55.58,69.82,65.7,98.06
24,38.12,49.06,49.88,65.48,60.24,79.12,75.12,110.08
25,42.9,53.56,53.62,69.26,68.86,94.16,80.68,124.02
26,44.24,59.68,61.04,79.82,75.36,107.44,94.28,148.02
27,49.66,62.82,70.28,91.06,86.76,117.88,106.18,170.2
28,55.02,73.64,74.6,103.5,94.08,135.12,117.56,193.32
29,57.5,81.72,83.06,111.96,100.48,157.02,131.14,219.92
30,67.9,89.4,94.34,134.56,116.54,179.36,150.36,251.16
31,73.14,100.38,103.96,148.98,124.36,202.04,169.68,293.3
32,80.82,112.9,114.88,172.14,142.18,227.92,185.3,334.5
33,88.86,125.6,129.68,187.92,157.8,266.08,207.66,385.96
34,96.08,141.46,139.54,209.54,175.24,295.98,229.68,446.26
35,108.56,156.78,158.2,233.7,194.88,341.74,256.28,508.96
36,121.22,170.74,170.46,266.08,221.06,388.76,279.58,579.76
37,135.22,194.4,195.84,300.54,247.76,448.58,314.88,664.22
38,151.26,214.84,214.46,340.5,268.56,510.98,349.08,746.6
39,157.9,240.82,234.76,376.48,297.62,565.18,394.34,856.06
40,174.26,266.3,265.0,420.76,326.14,635.32,431.12,978.78
41,193.36,295.9,292.08,477.28,366.76,728.74,474.9,1102.44
42,205.4,330.66,320.0,536.38,409.42,827.4,526.8,1259.9
43,233.12,359.7,350.18,593.62,447.22,934.2,584.92,1424.72
44,251.58,397.44,379.18,677.14,496.92,1044.98,651.24,1619.56
45,274.6,446.9,419.68,765.6,550.88,1181.2,719.94,1821.26
