step,R_SAR15,U_SAR15,R_SAR20,U_SAR20,R_SAR25,U_SAR25,R_SAR30,U_SAR30
0,6.56,6.82,6.62,6.88,6.68,6.92,6.76,7.08
1,4.82,5.5,5.04,5.52,5.1,5.6,5.18,5.84
2,6.64,7.62,6.64,7.62,6.72,7.58,6.96,7.56
3,9.14,8.98,8.48,8.66,8.4,9.08,8.64,8.94
4,8.78,9.14,9.62,9.82,9.14,9.86,9.46,9.84
5,8.8,9.56,9.2,9.48,9.84,10.08,9.2,10.78
6,8.52,9.32,8.64,10.22,8.34,10.64,9.04,10.44
7,6.98,8.44,7.96,8.32,8.54,9.14,8.9,9.98
8,6.48,6.56,6.98,8.24,8.14,9.38,8.08,10.44
9,6.34,6.92,6.44,8.16,7.4,10.2,8.92,10.6
10,6.04,7.24,7.1,9.14,8.0,10.54,9.42,13.76
11,7.12,7.8,8.22,11.18,9.74,11.66,10.88,15.16
12,8.08,9.44,8.8,11.56,9.8,14.58,12.22,18.1
13,7.74,9.38,9.68,13.24,12.64,16.8,14.86,21.16
14,9.2,11.98,11.76,15.72,13.46,17.52,17.58,25.4
15,10.36,13.42,12.86,18.4,15.86,21.12,20.5,27.38
16,10.96,14.24,16.04,20.6,18.54,25.04,23.56,33.02
17,12.32,17.22,16.6,22.8,21.32,26.42,26.46,39.44
18,13.98,20.12,19.84,27.02,24.16,30.74,28.22,43.66
19,15.64,21.84,22.02,29.92,27.26,37.38,32.42,49.04
20,18.04,24.8,24.66,34.42,30.1,43.52,36.82,55.86
21,17.6,25.9,25.66,36.86,33.22,46.34,41.38,63.8
22,21.08,28.96,28.64,42.1,36.24,52.76,42.12,71.8
23,21.82,31.38,30.5,47.7,40.48,61.84,49.54,83.44
24,25.1,36.6,32.68,50.94,43.84,69.34,53.64,94.7
25,28.76,38.18,37.2,54.72,51.24,77.5,63.22,109.28
26,28.88,41.96,41.56,63.26,53.42,86.46,67.04,122.56
27,30.84,47.06,46.08,69.36,58.12,94.32,76.58,143.24
28,33.52,48.38,48.8,74.74,62.2,105.9,82.86,160.26
29,35.86,54.28,53.68,86.28,68.58,119.86,87.36,181.2
30,38.42,59.46,58.56,97.5,76.56,133.64,102.18,202.68
31,41.62,67.3,64.5,106.84,85.12,147.64,111.28,236.66
32,47.66,71.16,66.36,119.38,92.82,168.86,123.06,266.14
33,52.6,76.4,75.64,131.26,103.84,193.58,127.5,303.4
34,55.3,86.96,82.54,148.7,111.18,216.92,143.38,341.96
35,63.22,92.86,90.86,165.04,121.66,245.22,156.92,389.6
36,66.6,105.62,99.32,181.56,129.2,281.08,170.96,446.8
37,70.94,114.0,104.78,205.14,137.02,321.4,179.62,498.4
38,78.9,126.04,117.46,231.38,149.42,359.52,198.7,568.98
39,82.72,138.72,121.68,256.7,161.62,408.14,218.46,643.18
40,89.1,151.16,136.64,286.16,173.72,456.18,236.26,744.56
41,95.56,162.76,143.26,320.7,188.72,514.34,248.56,827.56
42,104.22,177.34,156.68,353.44,204.42,583.16,273.5,947.0
43,110.86,199.7,164.42,392.54,220.58,647.88,296.82,1068.92
44,119.0,216.86,182.82,431.52,242.88,726.98,320.52,1213.26
45,129.9,239.68,191.54,472.64,263.7,803.14,349.16,1344.48
46,140.18,262.2,206.32,527.48,291.3,896.08,380.36,1498.48
47,144.66,287.98,222.2,589.76,309.38,998.56,413.76,1685.26
48,159.48,316.96,243.32,643.42,336.92,1119.6,452.36,1887.62
49,168.16,350.98,256.94,716.54,369.56,1242.92,486.66,2087.36
50,179.1,380.0,280.28,786.64,391.04,1381.82,538.74,2317.88
51,199.54,424.14,301.84,880.0,424.7,1544.82,583.62,2570.0
52,212.72,461.88,325.78,956.9,460.58,1699.84,633.2,2849.1
53,230.52,498.82,350.94,1057.28,493.88,1877.12,692.1,3105.74
54,248.42,541.5,372.66,1159.28,534.18,2061.74,743.96,3395.04
55,262.94,596.28,406.02,1275.4,582.04,2254.7,807.72,3689.96
56,285.04,658.66,436.72,1400.82,633.96,2485.44,889.44,3975.38
57,304.42,711.66,468.14,1519.92,681.56,2716.62,955.3,4275.12
58,325.0,774.96,514.72,1659.08,737.82,2945.6,1038.66,4546.68
59,348.14,843.14,548.78,1814.36,804.12,3203.78,1121.12,4824.14
60,373.02,912.98,598.32,1965.34,851.84,3438.86,1201.32,5063.36
61,399.68,987.08,645.06,2145.26,935.8,3664.42,1311.08,5272.84
62,424.16,1062.3,686.78,2324.56,1000.4,3916.48,1402.74,5444.76
63,458.74,1157.66,741.62,2477.0,1078.3,4155.08,1509.88,5563.18
64,490.16,1245.54,805.66,2693.78,1154.74,4367.52,1632.52,5672.32
65,522.46,1362.96,845.98,2876.16,1245.54,4547.54,1754.64,5688.68
66,555.3,1462.94,912.62,3073.56,1329.04,4747.04,1870.2,5612.56
67,606.66,1584.84,979.36,3249.84,1430.3,4869.84,2023.36,5527.32
68,657.42,1702.86,1054.96,3420.44,1534.04,4975.0,2131.14,5373.4
69,695.38,1821.16,1137.16,3602.04,1635.0,5045.28,2261.24,5208.16
70,746.38,1943.7,1202.84,3774.62,1745.52,5078.56,2410.6,4935.66
71,793.62,2074.48,1282.28,3917.04,1860.36,5077.32,2546.56,4665.74
72,858.26,2205.12,1380.96,4049.34,1977.7,5010.48,2667.7,4383.02
73,912.46,2352.54,1451.42,4168.48,2118.82,4935.2,2827.28,4067.84
74,966.12,2474.12,1547.94,4246.34,2220.26,4823.8,2971.4,3725.86
75,1015.42,2618.46,1648.26,4311.02,2337.84,4651.48,3070.86,3423.22
76,1079.48,2733.06,1745.18,4349.66,2462.94,4444.32,3214.32,3087.12
77,1153.12,2862.36,1835.24,4366.34,2580.16,4228.24,3326.44,2783.66
78,1216.38,2990.5,1955.62,4365.68,2710.32,3967.46,3462.5,2505.98
79,1277.8,3102.14,2063.62,4288.44,2827.24,3720.06,3540.64,2226.42
80,1372.78,3218.22,2160.14,4227.22,2933.02,3428.14,3642.94,1963.38
81,1447.34,3338.8,2272.78,4128.0,3055.04,3162.58,3720.58,1733.32
82,1535.84,3415.04,2372.7,4011.7,3155.14,2882.62,3775.2,1515.08
83,1611.6,3492.18,2479.52,3884.28,3242.94,2619.24,3818.52,1342.68
84,1692.96,3564.56,2574.64,3719.84,3331.54,2358.02,3839.7,1174.58
85,1785.18,3604.22,2669.32,3547.52,3391.46,2133.04,3844.66,1030.96
86,1877.62,3637.9,2766.54,3374.26,3452.18,1897.62,3830.14,908.84
87,1942.88,3661.02,2835.1,3160.48,3513.44,1694.84,3791.74,801.12
88,2044.36,3644.68,2921.62,2974.58,3546.82,1515.92,3734.54,708.3
89,2121.9,3616.7,2988.32,2759.7,3589.96,1350.4,3645.0,621.44
90,2205.9,3594.26,3050.26,2576.88,3579.46,1201.34,3556.48,545.84
91,2299.7,3522.5,3099.44,2376.02,3582.42,1066.18,3427.92,484.62
92,2385.78,3463.4,3140.34,2174.44,3558.62,943.46,3291.72,428.32
93,2480.86,3370.72,3178.94,1986.12,3523.36,841.14,3162.78,381.42
94,2522.74,3271.24,3184.52,1825.26,3438.64,748.26,2974.28,345.36
95,2606.42,3177.44,3193.3,1649.7,3359.56,665.5,2837.28,311.74
96,2675.78,3029.5,3211.32,1518.78,3285.84,588.36,2680.7,276.62
97,2737.86,2897.0,3181.78,1377.56,3193.4,530.32,2524.04,250.26
98,2769.06,2761.98,3150.3,1250.82,3060.84,474.5,2336.08,219.2
99,2830.72,2638.94,3119.74,1134.2,2937.88,414.7,2185.18,199.92
100,2859.52,2486.66,3046.22,1021.38,2796.14,374.02,2039.38,179.16
101,2899.52,2340.48,2995.58,921.98,2637.68,332.22,1878.8,160.66
102,2911.98,2197.4,2928.3,831.46,2503.0,298.22,1736.48,141.48
103,2926.34,2052.98,2848.3,745.66,2349.42,265.34,1589.94,128.88
104,2919.3,1913.0,2779.14,676.86,2214.0,235.96,1461.42,116.76
105,2915.38,1782.46,2667.36,607.44,2051.54,209.06,1344.54,102.9
106,2883.38,1640.08,2555.58,546.36,1907.46,189.4,1225.54,94.08
107,2839.48,1523.42,2457.18,489.68,1767.62,170.48,1127.42,82.36
108,2814.96,1416.04,2321.44,436.54,1631.68,149.9,1026.48,74.32
109,2762.62,1301.6,2223.7,394.4,1504.32,134.54,938.7,68.84
110,2706.54,1203.68,2083.58,350.3,1372.22,126.34,843.88,63.24
111,2654.42,1109.62,1986.22,316.12,1254.26,109.7,765.6,53.92
112,2581.36,1013.58,1864.78,281.18,1158.9,99.72,699.5,49.68
113,2488.54,940.26,1753.66,250.6,1044.06,91.86,630.04,45.72
114,2405.72,867.6,1647.9,223.36,947.58,78.94,573.34,39.74
115,2300.74,799.58,1555.08,199.92,852.0,72.16,510.42,35.28
116,2217.92,728.44,1447.42,176.74,766.54,63.1,464.82,31.76
117,2100.84,665.4,1346.9,157.58,686.54,56.72,414.46,27.24
118,2013.16,618.72,1263.08,140.12,621.02,53.66,370.6,25.3
119,1895.9,565.48,1171.44,122.48,566.64,48.92,328.82,23.3
120,1797.44,516.86,1079.36,115.18,503.94,43.02,292.68,20.76
121,1689.76,470.7,1007.3,98.86,450.42,39.6,269.98,18.66
122,1580.42,436.42,926.3,92.82,398.32,34.88,236.68,16.8
123,1481.04,403.76,849.3,81.42,366.16,30.82,211.1,14.4
124,1370.38,366.08,770.64,71.14,326.32,28.16,185.68,13.68
125,1285.7,329.3,711.14,64.32,296.48,24.82,168.58,11.94
126,1188.68,302.64,646.48,58.06,254.6,22.5,152.32,11.14
127,1091.46,272.58,585.96,53.36,230.22,20.74,131.44,10.5
128,1003.24,251.88,527.6,48.54,211.08,18.7,121.12,8.84
129,926.02,233.36,475.22,44.5,186.82,15.66,108.68,7.66
130,847.46,206.08,436.34,40.02,167.36,14.72,96.72,6.94
131,782.36,181.48,393.66,35.94,147.14,14.0,85.96,6.36
132,718.76,171.26,353.1,32.72,135.18,12.4,77.54,5.7
133,651.4,158.02,316.94,29.74,118.46,10.98,67.08,5.34
134,589.0,140.38,294.2,27.22,111.98,9.8,64.34,5.22
135,536.92,124.52,263.78,23.3,98.6,8.86,56.08,4.36
136,490.5,113.96,237.88,20.78,89.36,8.36,52.38,4.18
137,444.56,103.72,214.16,19.8,81.56,7.58,46.46,3.72
138,396.2,90.04,190.8,16.58,73.48,6.72,40.8,2.5
139,359.24,79.52,170.1,17.0,68.68,6.08,36.76,3.06
140,324.26,74.02,151.76,14.1,60.22,5.58,32.72,2.18
141,290.24,64.56,140.06,13.44,54.32,4.72,31.52,2.14
142,262.88,59.32,119.72,11.84,50.56,3.6,28.66,2.34
143,237.68,52.46,110.72,10.44,43.18,4.02,27.26,1.92
144,213.48,46.58,98.06,9.9,38.24,3.8,24.06,1.42
145,200.28,40.96,87.02,9.32,34.62,3.74,21.34,1.48
146,173.06,37.54,75.94,7.26,32.14,2.96,19.98,1.44
147,158.92,33.96,69.96,7.52,30.16,2.88,18.1,1.06
148,141.08,30.4,61.04,5.94,26.6,2.58,16.12,0.98
149,128.48,27.68,57.1,5.68,25.44,1.62,13.38,1.14
150,118.44,24.28,52.8,5.02,22.12,1.66,13.44,0.84
151,103.98,22.34,45.32,4.54,21.04,1.8,12.56,0.86
152,95.38,20.3,41.18,4.24,18.3,1.58,11.14,0.76
153,88.1,19.42,37.1,3.9,17.18,1.34,10.52,0.48
154,80.76,17.18,36.1,3.44,15.24,1.3,9.04,0.46
155,71.52,14.38,33.44,2.86,14.06,1.08,7.88,0.36
156,65.8,13.5,30.62,2.86,13.24,1.04,7.54,0.42
157,58.48,13.14,26.6,2.38,12.08,0.82,6.44,0.5
158,51.84,11.2,26.48,2.26,11.04,1.06,6.12,0.42
159,49.8,9.98,22.26,2.12,8.86,0.82,5.0,0.36
160,45.24,8.56,21.86,2.22,8.56,0.54,5.36,0.4
161,41.46,8.42,19.96,1.92,7.82,0.68,4.62,0.26
162,38.3,6.98,16.64,1.44,7.16,0.78,3.66,0.2
163,32.46,6.32,15.5,1.52,6.36,0.62,3.48,0.2
164,29.82,5.58,13.28,1.44,5.12,0.4,3.24,0.1
165,26.58,5.14,13.44,0.94,5.48,0.3,3.06,0.28
166,24.04,4.5,11.72,0.98,4.9,0.34,3.22,0.12
167,22.22,4.4,10.74,0.9,3.96,0.4,2.54,0.12
168,19.36,4.12,9.44,0.94,3.84,0.34,2.18,0.14
169,18.86,4.16,8.08,0.76,3.32,0.2,2.1,0.08
170,16.44,3.46,7.52,0.72,3.14,0.26,1.96,0.2
171,15.2,2.86,7.0,0.74,3.22,0.2,1.9,0.18
172,13.96,2.82,5.78,0.56,2.06,0.12,1.46,0.08
173,12.66,2.9,5.62,0.54,2.36,0.2,1.36,0.08
174,11.56,2.26,5.18,0.46,1.98,0.16,1.14,0.06
175,10.18,1.8,4.8,0.46,1.8,0.08,1.2,0.04
176,11.1,1.72,4.98,0.36,1.76,0.22,1.28,0.08
177,10.56,1.8,4.28,0.42,1.74,0.2,0.74,0.14
178,8.86,1.64,4.18,0.4,1.58,0.14,0.86,0.1
179,7.9,1.44,3.48,0.36,1.62,0.08,1.16,0.02
