DISTRICT_ID,NAME,pop2021,total_people,pop_accuracy,total_households,num_buildings,buil_with_households,fill_rate
0,ΑΓΥΙΑ (νότια),6681,6684,99.96,2580,971,971,100.0
1,ΑΓ. ΑΙΚΑΤΕΡΙΝΗ,2902,2902,100.0,1117,689,689,100.0
2,ΑΓ. ΓΕΡΑΣΙΜΟΣ,3962,3643,91.95,1380,461,461,100.0
3,ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ,2314,2216,95.76,835,279,279,100.0
4,ΑΓ. ΣΟΦΙΑ,7215,6501,90.1,2475,823,823,100.0
5,ΑΚΡΩΤΗΡΙ-ΜΑΚΡΥΓΙΑΝΝΗ,4304,4022,93.45,1517,506,506,100.0
6,ΑΝΑΤΟΛΙΚΗ ΠΑΡ. ΠΡΟΑΣΤΕΙΟΥ,1473,1412,95.86,552,185,185,100.0
7,ΑΝΑΤΟΛΙΚΟΣ ΚΑΣΤΕΛΟΚΑΜΠΟΣ,1044,1058,98.66,399,346,346,100.0
8,ΑΝΘΟΥΠΟΛΗ,3601,3181,88.34,1221,407,407,100.0
9,ΑΡΕΘΑ,2183,2191,99.63,835,523,523,100.0
10,ΑΡΟΗ,4722,4722,100.0,1815,667,667,100.0
11,ΠΕΡΙΟΧΗ ΑΡΧ. ΩΔΕΙΟΥ,3254,3304,98.46,1244,902,902,100.0
12,ΠΕΡΙΟΧΗ ΒΙΛΛΑΣ ΛΑΔΟΠΟΥΛΟΥ,1997,2025,98.6,764,394,394,100.0
13,ΒΛΑΤΕΡΟ - ΤΡΙΤΑΚΙ,1528,3789,-47.97,1440,856,856,100.0
14,ΒΟΡΕΙΑ ΑΝΘΟΥΠΟΛΗ,486,486,100.0,187,77,77,100.0
15,ΔΕΜΕΝΙΚΑ ΜΕΤ. ΣΩΤΗΡΟΣ,5093,5093,100.0,1943,868,868,100.0
16,ΔΥΤΙΚΟΣ ΚΑΣΤΕΛΟΚΑΜΠΟΣ,1174,1174,100.0,453,416,416,100.0
17,ΔΥΤΙΚΗ ΠΑΡ. ΠΡΟΑΣΤΕΙΟΥ,1740,1740,100.0,677,451,451,100.0
18,ΕΒΡΑΙΟΜΝΗΜΑΤΑ,1874,1876,99.89,718,371,371,100.0
19,ΕΓΛΥΚΑΔΑ,2157,2158,99.95,855,453,453,100.0
20,ΕΞΩ ΑΓΥΙΑ (βόρεια),2682,2683,99.96,1028,372,372,100.0
21,ΕΠΙΧΕΙΡΗΣΙΑΚΟ ΚΕΝΤΡΟ,3104,1736,55.93,653,218,218,100.0
