DISTRICT_ID,NAME,pop2021,total_people,pop_accuracy,total_households,num_buildings,buil_with_households,fill_rate
0,ΑΓΥΙΑ (νότια),6681,6681,100.0,2602,971,971,100.0
1,ΑΓ. ΑΙΚΑΤΕΡΙΝΗ,2902,2902,100.0,1138,689,689,100.0
2,ΑΓ. ΓΕΡΑΣΙΜΟΣ,3962,3532,89.15,1380,461,461,100.0
3,ΑΓ. ΠΑΝΤΕΛΕΗΜΩΝ,2314,2135,92.26,835,279,279,100.0
4,ΑΓ. ΣΟΦΙΑ,7215,6378,88.4,2475,823,823,100.0
5,ΑΚΡΩΤΗΡΙ-ΜΑΚΡΥΓΙΑΝΝΗ,4304,3886,90.29,1517,506,506,100.0
6,ΑΝΑΤΟΛΙΚΗ ΠΑΡ. ΠΡΟΑΣΤΕΙΟΥ,1473,1410,95.72,552,185,185,100.0
7,ΑΝΑΤΟΛΙΚΟΣ ΚΑΣΤΕΛΟΚΑΜΠΟΣ,1044,1044,100.0,418,346,346,100.0
8,ΑΝΘΟΥΠΟΛΗ,3601,3074,85.37,1221,407,407,100.0
9,ΑΡΕΘΑ,2183,2185,99.91,873,523,523,100.0
10,ΑΡΟΗ,4722,4749,99.43,1841,667,667,100.0
11,ΠΕΡΙΟΧΗ ΑΡΧ. ΩΔΕΙΟΥ,3254,3255,99.97,1278,902,902,100.0
12,ΠΕΡΙΟΧΗ ΒΙΛΛΑΣ ΛΑΔΟΠΟΥΛΟΥ,1997,2012,99.25,781,394,394,100.0
13,ΒΛΑΤΕΡΟ - ΤΡΙΤΑΚΙ,1528,3662,-39.66,1453,856,856,100.0
14,ΒΟΡΕΙΑ ΑΝΘΟΥΠΟΛΗ,486,487,99.79,199,77,77,100.0
15,ΔΕΜΕΝΙΚΑ ΜΕΤ. ΣΩΤΗΡΟΣ,5093,5117,99.53,1980,868,868,100.0
16,ΔΥΤΙΚΟΣ ΚΑΣΤΕΛΟΚΑΜΠΟΣ,1174,1175,99.91,459,416,416,100.0
17,ΔΥΤΙΚΗ ΠΑΡ. ΠΡΟΑΣΤΕΙΟΥ,1740,1740,100.0,704,451,451,100.0
18,ΕΒΡΑΙΟΜΝΗΜΑΤΑ,1874,1898,98.72,733,371,371,100.0
19,ΕΓΚΛΥΚΑΔΑ,2157,2214,97.36,843,453,453,100.0
20,ΕΞΩ ΑΓΥΙΑ (βόρεια),2682,2682,100.0,1050,372,372,100.0
21,ΕΠΙΧΕΙΡΗΣΙΑΚΟ ΚΕΝΤΡΟ,3104,1688,54.38,653,218,218,100.0
22,ΕΘΝΙΚΟ ΣΤΑΔΙΟ,527,1542,-92.6,582,376,376,100.0
23,ΓΗΡΟΚΟΜΕΙΟ - ΤΖΟΛΕΪΚΑ,4302,3666,85.22,1432,500,500,100.0
24,ΓΛΥΦΑΔΑ - ΠΑΝΑΧΑΪΚΗ,7704,6074,78.84,2391,783,783,100.0
25,ΓΟΥΒΑ,1747,1747,100.0,684,498,498,100.0
26,ΑΓ. ΓΕΩΡΓΙΟΣ ΛΑΓΓΟΥΡΑΣ,3022,2864,94.77,1121,374,374,100.0
27,ΙΤΙΕΣ - ΛΕΥΚΑ,4390,3752,85.47,1463,488,488,100.0
28,ΑΓ. ΙΩΑΝΝΗΣ ΠΡΑΤΣΙΚΑΣ,5824,5826,99.97,2276,1337,1337,100.0
29,ΚΑΤΩ ΣΥΧΑΙΝΑ,2820,2067,73.3,806,269,269,100.0
30,ΚΕΝΤΡΟ,5157,5183,99.5,2015,1371,1371,100.0
31,ΚΕΤΕΣ,1821,1825,99.78,731,626,626,100.0
32,ΚΟΤΡΩΝΙ,880,880,100.0,345,233,233,100.0
33,ΚΟΥΤΣΑΕΓΛΥΚΑΔΕΣ,2223,1858,83.58,712,239,239,100.0
34,ΚΡΥΑ-ΙΤΕΩΝ,1756,1699,96.75,651,217,217,100.0
35,ΛΑΓΓΟΥΡΑ,3420,3543,96.4,1337,528,528,100.0
36,ΜΕΜΟΥ,2173,2174,99.95,870,344,344,100.0
37,ΜΠΕΓΟΥΛΑΚΙ,2761,1850,67.0,736,246,246,100.0
38,ΜΠΟΖΑΪΤΙΚΑ,1219,1276,95.32,477,262,262,100.0
39,ΝΟΡΜΑΝ,6150,6056,98.47,2395,798,798,100.0
40,ΝΟΣΟΚΟΜΕΙΟ,3028,3029,99.97,1200,423,423,100.0
41,ΠΑΓΩΝΑ ΑΓ. ΠΑΡΑΣΚΕΥΗ,2885,2886,99.97,1127,608,608,100.0
42,ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ,5566,5609,99.23,2175,1133,1133,100.0
43,ΠΡΟΑΣΤΕΙΟ,1765,1781,99.09,689,392,392,100.0
44,ΨΑΡΟΦΑΪ,6945,6945,100.0,2717,1283,1283,100.0
45,ΨΑΧΟΥ,4470,4472,99.96,1742,721,721,100.0
46,ΨΗΛΑ ΑΛΩΝΙΑ,6624,6624,100.0,2607,1028,1028,100.0
47,ΔΙΑΚΟΥ ΣΑΜΑΚΙΑ,1422,1422,100.0,559,264,264,100.0
48,ΣΚΑΓΙΟΠΟΥΛΕΙΟ,6515,6548,99.49,2545,1018,1018,100.0
49,ΤΑΣΙ,2192,2194,99.91,860,557,557,100.0
50,ΤΕΙ,1848,1907,96.81,722,402,402,100.0
51,ΤΡΙΑΝΤΕΙΟΣ,3066,3112,98.5,1198,616,616,100.0
52,ΤΡΙΩΝ ΝΑΥΑΡΧΩΝ,5528,5528,100.0,2155,734,734,100.0
53,ΖΑΒΛΑΝΙ,3680,3700,99.46,1431,695,695,100.0
54,ΖΑΡΟΥΧΛΕΪΚΑ,8634,8634,100.0,3396,2136,2136,100.0
